,playlist,id,name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,Its time,2FoahzOSxJnalPA8aBUme3,all of me,Rap,0.652,0.806,5,-5.707,0,0.302,0.122,1.08e-05,0.842,0.779,159.947,audio_features,spotify:track:2FoahzOSxJnalPA8aBUme3,https://api.spotify.com/v1/tracks/2FoahzOSxJnalPA8aBUme3,https://api.spotify.com/v1/audio-analysis/2FoahzOSxJnalPA8aBUme3,198293,4
1,Its time,6x9pCndnXEoea0CMcfjs9W,n.h.i.e.,Rap,0.818,0.512,5,-9.056,0,0.0884,0.0963,0.0371,0.11,0.153,131.974,audio_features,spotify:track:6x9pCndnXEoea0CMcfjs9W,https://api.spotify.com/v1/tracks/6x9pCndnXEoea0CMcfjs9W,https://api.spotify.com/v1/audio-analysis/6x9pCndnXEoea0CMcfjs9W,143719,4
2,Its time,2FDTHlrBguDzQkp7PVj16Q,Sprinter,Rap,0.918,0.681,1,-4.705,1,0.201,0.263,0.0,0.0615,0.706,139.057,audio_features,spotify:track:2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/tracks/2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/audio-analysis/2FDTHlrBguDzQkp7PVj16Q,229133,4
3,Its time,5KI7I4mEtulXcv5VQJaV35,just like me,Rap,0.701,0.653,1,-4.695,1,0.105,0.479,2.82e-05,0.306,0.505,82.984,audio_features,spotify:track:5KI7I4mEtulXcv5VQJaV35,https://api.spotify.com/v1/tracks/5KI7I4mEtulXcv5VQJaV35,https://api.spotify.com/v1/audio-analysis/5KI7I4mEtulXcv5VQJaV35,231338,4
4,Its time,4yLyVdEqV790aIXyGif85v,red sky,Rap,0.474,0.621,7,-8.253,0,0.103,0.187,0.0,0.16,0.396,114.314,audio_features,spotify:track:4yLyVdEqV790aIXyGif85v,https://api.spotify.com/v1/tracks/4yLyVdEqV790aIXyGif85v,https://api.spotify.com/v1/audio-analysis/4yLyVdEqV790aIXyGif85v,176835,4
5,Its time,6pcywuOeGGWeOQzdUyti6k,Glock In My Lap,Rap,0.847,0.733,10,-6.439,0,0.16,0.00574,1.04e-05,0.151,0.202,130.029,audio_features,spotify:track:6pcywuOeGGWeOQzdUyti6k,https://api.spotify.com/v1/tracks/6pcywuOeGGWeOQzdUyti6k,https://api.spotify.com/v1/audio-analysis/6pcywuOeGGWeOQzdUyti6k,193591,4
6,Its time,2yUzr8Sr6ldG8vmHhZwTnz,née-nah,Rap,0.681,0.758,1,-6.524,1,0.188,0.00465,0.0,0.555,0.331,165.409,audio_features,spotify:track:2yUzr8Sr6ldG8vmHhZwTnz,https://api.spotify.com/v1/tracks/2yUzr8Sr6ldG8vmHhZwTnz,https://api.spotify.com/v1/audio-analysis/2yUzr8Sr6ldG8vmHhZwTnz,220584,4
7,Its time,52eIcoLUM25zbQupAZYoFh,redrum,Rap,0.625,0.733,2,-8.757,1,0.0488,0.00598,0.000983,0.375,0.244,172.09,audio_features,spotify:track:52eIcoLUM25zbQupAZYoFh,https://api.spotify.com/v1/tracks/52eIcoLUM25zbQupAZYoFh,https://api.spotify.com/v1/audio-analysis/52eIcoLUM25zbQupAZYoFh,270698,4
8,Its time,50a8bKqlwDEqeiEknrzkTO,ball w/o you,Rap,0.892,0.633,8,-7.471,1,0.0902,0.0467,0.000189,0.139,0.459,137.994,audio_features,spotify:track:50a8bKqlwDEqeiEknrzkTO,https://api.spotify.com/v1/tracks/50a8bKqlwDEqeiEknrzkTO,https://api.spotify.com/v1/audio-analysis/50a8bKqlwDEqeiEknrzkTO,195047,4
9,Its time,02Cp3VTUWNed8hr69BhKz6,dark days,Rap,0.68,0.583,2,-5.351,0,0.174,0.229,1.37e-05,0.139,0.134,82.477,audio_features,spotify:track:02Cp3VTUWNed8hr69BhKz6,https://api.spotify.com/v1/tracks/02Cp3VTUWNed8hr69BhKz6,https://api.spotify.com/v1/audio-analysis/02Cp3VTUWNed8hr69BhKz6,295073,4
